Reference,Date
BB02A,6/26/2018
BB02B,6/26/2018
BB02C,6/26/2018
BB02D,6/26/2018
BB02E,6/26/2018
BB02F,6/26/2018
BB02G,6/26/2018
CO02A,5/7/2018
CO02B,5/7/2018
CO02C,5/7/2018
CO02D,5/7/2018
CO02E,5/7/2018
FD02A,4/13/2018
FD02B,4/13/2018
FD02C,4/13/2018
FD02D,4/13/2018
FD02D,4/4/2018
FD02E,4/4/2018
FD02F,4/4/2018
FD02G,4/4/2018
HP02A,4/24/2018
HP02B,4/24/2018
HP02C,4/24/2018
HP02D,4/20/2018
HP02E,4/20/2018
HP02F,4/20/2018
HH02A,6/13/2018
HH02B,6/13/2018
HH02C,6/13/2018
HH02D,6/13/2018
LM02A,5/23/2018
LM02B,5/23/2018
LM02C,5/23/2018
LM02D,5/23/2018
LM02E,5/23/2018
MO02A,7/17/2018
MO02B,7/17/2018
MO02C,7/17/2018
MO02D,7/17/2018
MO02E,7/17/2018
MO02E,7/27/2018
UT02A,5/24/2018
UT02B,5/24/2018
UT02C,5/24/2018
UT02D,5/24/2018
UT02E,5/24/2018
UT02F,5/24/2018
UT02F,7/5/2018
UT02G,7/5/2018
UT02H,7/5/2018
UT02I,7/5/2018
UT02J,7/5/2018
UT02K,7/5/2018
UT02L,7/5/2018
WI02A,3/21/2018
WI02B,3/21/2018
WI02B,3/30/2018
WI02B,4/4/2018
WI02C,4/4/2018
WI02D,4/4/2018
WI02E,4/4/2018
WI02F,4/4/2018
